나다, 82, 180
하자, 83, 162
차아, 56, 173
다가, 96, 167
타카, 93, 164
가나, 86, 147
차하, 96, 179
타아, 56, 188
마자, 53, 143
자나, 56, 190
하파, 53, 190
사하, 68, 188
라다, 44, 170
마카, 55, 140
자하, 84, 156
나파, 42, 155
마자, 89, 140
가타, 71, 148
사마, 72, 177
자가, 53, 173
타차, 87, 185
차차, 83, 191
자자, 76, 145
다타, 80, 161
마라, 61, 154
나바, 95, 175
바카, 83, 162
하마, 76, 195
다라, 89, 175
파나, 45, 153
하사, 42, 177
파다, 45, 171
사사, 68, 140
카다, 95, 175
카바, 45, 148
사나, 42, 172
자타, 81, 154
카하, 43, 179
바가, 50, 183
다자, 43, 158
사자, 79, 177
타자, 76, 184
바가, 48, 183
아아, 75, 164
파하, 60, 198
파하, 74, 194
가마, 87, 146
자가, 76, 162
타하, 49, 143
가마, 65, 187
가가, 62, 160
자라, 58, 141
마사, 70, 159
타마, 54, 146
자나, 69, 166
다파, 76, 173
사아, 70, 165
타사, 78, 154
하나, 94, 162
가가, 61, 186
다차, 76, 194
차나, 45, 171
파아, 62, 190
다라, 57, 161
라다, 73, 141
자라, 75, 183
마차, 85, 189
자카, 59, 180
아가, 64, 199
사나, 84, 173
파하, 95, 172
사하, 98, 185
하가, 54, 180
나가, 80, 166
바차, 66, 173
타다, 92, 154
카가, 59, 185
사사, 91, 193
가아, 59, 149
타사, 69, 169
사카, 51, 156
자라, 98, 151
타가, 45, 159
차파, 61, 168
하마, 93, 185
바가, 50, 181
가타, 48, 192
카하, 83, 160
사자, 73, 180
라다, 69, 147
차마, 64, 181
하사, 56, 166
파차, 94, 196
카나, 73, 166
카파, 95, 169
다바, 80, 155
마마, 85, 161
라라, 67, 180
마파, 74, 165
카카, 75, 158
바가, 85, 155
카바, 85, 169
사자, 42, 149
가차, 95, 198
바바, 86, 193
자아, 58, 140
마사, 86, 146
나하, 48, 155
나나, 85, 191
나아, 43, 150
카가, 84, 183
카다, 43, 140
타마, 74, 146
차가, 95, 172
차마, 43, 143
자카, 63, 152
파마, 84, 185
하파, 49, 162
카아, 59, 145
차파, 86, 188
사바, 64, 154
나타, 44, 186
타마, 60, 166
다바, 47, 175
사바, 82, 197
바자, 80, 141
파하, 78, 171
바파, 80, 167
가하, 60, 164
사하, 61, 169
바마, 95, 199
사차, 48, 157
카아, 50, 153
나마, 65, 164
마가, 64, 195
파바, 96, 174
아카, 44, 173
카바, 61, 140
아하, 83, 168
아차, 67, 140
하라, 87, 144
사차, 74, 181
하가, 64, 184
파자, 56, 193
타바, 93, 166
파카, 68, 144
아다, 51, 189
아파, 73, 152
차카, 67, 162
사가, 76, 183
다바, 50, 160
나파, 63, 153
차파, 87, 183
타차, 79, 153
사타, 43, 147
가사, 60, 151
다가, 67, 156
가마, 51, 170
라나, 42, 188
타라, 74, 168
타라, 93, 190
마타, 68, 176
나아, 52, 157
가다, 85, 154
나사, 79, 161
아아, 75, 143
하파, 99, 161
나가, 51, 181
바차, 58, 163
다카, 59, 147
사파, 52, 160
라자, 75, 182
나하, 64, 190
차하, 45, 155
라바, 55, 160
하카, 43, 162
나타, 61, 172
하나, 64, 195
아차, 68, 148
가다, 44, 191
하라, 87, 196
파카, 82, 150
바라, 62, 182
파자, 87, 167
바바, 60, 155
다자, 44, 140
차라, 79, 155
마라, 83, 142
사파, 87, 149
타아, 60, 180
아사, 85, 151
타바, 52, 152
타바, 41, 158
마타, 95, 147
라바, 72, 181
차하, 88, 166
다라, 65, 146
다하, 47, 160
차마, 98, 160
라카, 61, 169
나하, 41, 146
나타, 99, 155
자다, 85, 164
하타, 73, 140
아사, 99, 155
가바, 51, 183
자타, 89, 185
사마, 76, 142
아바, 94, 198
사가, 84, 178
차자, 54, 176
가나, 62, 151
마라, 82, 166
아다, 69, 143
타바, 87, 163
나차, 65, 176
아카, 70, 146
라다, 40, 140
다사, 73, 196
하라, 70, 186
가라, 82, 198
카타, 90, 151
하타, 94, 174
다자, 76, 161
카카, 51, 144
타아, 81, 171
마사, 46, 151
아자, 78, 194
사가, 72, 194
다카, 69, 192
아라, 83, 188
바바, 57, 188
나마, 85, 170
사다, 51, 195
마하, 64, 195
나아, 71, 146
카아, 79, 188
하아, 88, 163
나파, 48, 140
파마, 70, 194
바파, 66, 146
라파, 59, 160
파다, 95, 184
다카, 72, 179
나차, 82, 158
하마, 42, 148
라차, 85, 186
아카, 57, 186
파라, 58, 188
카가, 84, 174
바아, 42, 156
아마, 46, 195
차하, 52, 173
자차, 56, 168
라다, 67, 196
차하, 58, 149
나하, 44, 170
타아, 94, 140
자라, 42, 157
다아, 71, 191
가아, 85, 150
차나, 42, 166
카바, 60, 154
라다, 85, 167
아라, 44, 176
나바, 81, 149
사하, 51, 155
하가, 96, 171
사자, 73, 179
차타, 85, 183
카다, 50, 186
하마, 68, 148
다자, 75, 184
라파, 62, 165
타다, 43, 186
바카, 55, 179
자하, 61, 146
가다, 40, 161
나자, 62, 184
자타, 99, 198
사하, 98, 156
바라, 94, 152
하나, 92, 158
사사, 43, 153
자자, 49, 175
바타, 50, 153
마차, 91, 188
카마, 66, 161
마마, 85, 164
바아, 49, 199
자파, 48, 140
아마, 89, 161
마나, 63, 154
아사, 77, 177
다아, 59, 173
하라, 78, 177
라차, 44, 184
라가, 45, 167
차하, 41, 168
가카, 41, 183
나자, 70, 148
타하, 48, 181
하나, 93, 141
타가, 70, 148
사다, 53, 196
아마, 79, 166
차자, 43, 189
아차, 42, 199
아카, 61, 188
사카, 69, 151
타차, 62, 155
라파, 82, 185
다가, 42, 175
아사, 63, 140
다파, 63, 182
아다, 67, 155
아카, 51, 144
아자, 70, 185
라파, 54, 159
사바, 53, 156
카다, 91, 179
마차, 62, 164
차아, 92, 142
하하, 83, 188
하가, 94, 183
가가, 98, 183
하바, 65, 153
차자, 85, 157
사가, 48, 168
다마, 64, 195
나마, 76, 180
차라, 43, 165
카자, 50, 146
라마, 43, 163
카다, 76, 166
나하, 55, 169
차파, 44, 143
자파, 97, 143
바파, 79, 183
카나, 74, 141
하아, 42, 189
다아, 73, 150
파바, 84, 148
아아, 46, 144
파차, 88, 163
하나, 59, 152
자파, 99, 194
바마, 72, 162
가파, 62, 176
가마, 46, 187
타차, 41, 163
마다, 90, 180
가바, 61, 145
하라, 43, 197
가바, 48, 189
카자, 68, 161
나마, 96, 176
타다, 91, 141
다사, 87, 144
하마, 82, 168
차파, 71, 170
사파, 97, 188
타마, 93, 156
가타, 75, 175
바아, 60, 151
라나, 85, 176
라하, 45, 179
라하, 73, 160
하차, 66, 173
차파, 47, 180
라마, 48, 159
다마, 77, 185
아차, 91, 148
마다, 97, 142
라아, 41, 156
마바, 69, 178
아바, 55, 140
